Supplementary Materials: Binding data for rapamycin regulatory network																
ORF	Gene name	Description	Binding p-values													
			DAL80 Rapamycin	DAL81 Rapamycin	DAL82 Rapamycin	FHL1 Rapamycin	GCN4 Rapamycin	UGA3 Rapamycin	RTG1 Rapamycin	RTG3 Rapamycin	MSN2 Rapamycin	MSN4 Rapamycin	GAT1 Rapamycin	HAP2 Rapamycin	GLN3 Rapamycin	GZF3 Rapamycin
YAL020C	ATS1	alpha-tubulin suppressor	0.098	0.655	0.436	0.107	0.615	0.257	0.304	0.444	0.4	0.523	0.737	0.405	0.751	0.425
YAL021C	CCR4	transcriptional regulator	0.113	0.269	0.546	0.861	0.895	0.447	0.695	0.894	0.486	0.791	0.806	0.48	0.822	0.779
YAL022C	FUN26	intracellular membrane protein involved in nucleoside transport	0.543	0.81	0.709	0.576	0.854	0.405	0.56	0.839	0.43	0.475	0.775	0.715	0.753	0.545
YAL023C	PMT2	mannosyltransferase	0.311	0.119	0.536	0.734	0.836	0.439	0.425	0.385	0.352	0.714	0.674	0.529	0.742	0.801
YAL024C	LTE1	GDP/GTP exchange factor	0.427	0.431	0.446	0.358	0.345	0.093	0.27	0.741	0.408	0.52	0.46	0.452	0.542	0.217
YAL025C	MAK16	nuclear viral propagation protein	0.021	0.068	0.157	0.207	0.329	0.049	0.051	0.365	0.238	0.09	0.37	0.21	0.458	0.111
YAL026C	DRS2	P-type amino-phospholipids-ATPase	0.369	0.7	0.682	0.53	0.71	0.537	0.386	0.651	0.651	0.668	0.753	0.714	0.664	0.53
YAL027W	YAL027W	hypothetical protein	0.084	0.299	0.229	0.501	0.673	0.084	0.219	0.46	0.125	0.189	0.274	0.129	0.228	0.27
YAL028W	YAL028W	similarity to hypothetical protein YOR324c	0.222	0.204	0.463	0.258	0.482	0.099	0.273	0.511	0.257	0.386	0.016	0.04	0.013	0.113
YAL029C	MYO4	"myosin heavy chain, unconventional (class V) isoform"	0.222	0.204	0.463	0.258	0.482	0.099	0.273	0.511	0.257	0.386	0.016	0.04	0.013	0.113
YAL030W	SNC1	synaptic vesicle-associated membrane protein	0.267	0.405	0.503	0.851	0.812	0.242	0.285	0.715	0.228	0.74	0.844	0.46	0.742	0.502
YAL031C	FUN21	hypothetical protein	0.267	0.405	0.503	0.851	0.812	0.242	0.285	0.715	0.228	0.74	0.844	0.46	0.742	0.502
YAL032C	PRP45	pre-mRNA splicing factor	0.843	0.814	0.73	0.716	0.709	0.41	0.459	0.681	0.679	0.467	0.631	0.444	0.72	0.355
YAL033W	POP5	required for processing of tRNAs and rRNAs	0.539	0.88	0.791	0.765	0.711	0.547	0.707	0.879	0.766	0.73	0.828	0.767	0.84	NaN
YAL034C	FUN19	similarity to hypothetical protein YOR338w	0.539	0.88	0.791	0.765	0.711	0.547	0.707	0.879	0.766	0.73	0.828	0.767	0.84	NaN
YAL034W-A	MTW1	determining metaphase spindle length	0.23	0.742	0.488	0.701	0.866	0.568	0.607	0.857	0.541	0.718	0.86	0.642	0.914	0.756
YAL035C-A	#REF!		0.276	0.626	0.654	0.559	0.794	0.743	0.665	0.759	0.471	0.838	0.711	0.623	0.88	0.686
YAL035W	FUN12	general translation factor eIF2 homolog	0.23	0.742	0.488	0.701	0.866	0.568	0.607	0.857	0.541	0.718	0.86	0.642	0.914	0.756
YAL036C	FUN11	strong similarity to GTP-binding proteins	0.23	0.742	0.488	0.701	0.866	0.568	0.607	0.857	0.541	0.718	0.86	0.642	0.914	0.756
YAL037W	YAL037W	strong similarity to GTP-binding proteins	0.485	0.221	0.151	0.617	0.426	0.212	0.128	0.111	0.121	0.464	0.555	0.449	0.465	0.668
YAL038W	CDC19	pyruvate kinase	0.276	0.019	0.351	0.633	0.776	0.546	0.817	0.476	0.464	0.706	0.216	0.152	0.258	0.784
YAL039C	CYC3	holocytochrome-c synthase (cytochrome c heme lyase)	0.827	0.155	0.516	0.735	0.356	0.532	0.569	0.187	0.586	0.421	0.322	0.604	0.312	0.871
YAL040C	CLN3	"cyclin, G1/S-specific"	0.729	0.181	0.912	0.414	0.641	0.812	0.904	0.703	0.639	0.67	0.71	0.833	0.715	0.972
YAL041W	CDC24	GTP/GDP exchange factor for CDC42P	0.483	0.666	0.926	0.778	0.972	0.971	0.864	0.89	0.873	0.894	0.869	0.696	0.799	0.813
YAL042W	ERV46	component of copii vesicles involved in transport between the ER and golgi complex	0.224	0.451	0.434	0.794	0.89	0.779	0.436	0.796	0.714	0.851	0.856	0.703	0.862	0.734
YAL043C	PTA1	pre-tRNA processing protein / PF I subunit	0.224	0.451	0.434	0.794	0.89	0.779	0.436	0.796	0.714	0.851	0.856	0.703	0.862	0.734
YAL043C-A	#REF!		0.483	0.666	0.926	0.778	0.972	0.971	0.864	0.89	0.873	0.894	0.869	0.696	0.799	0.813
YAL044C	GCV3	"glycine decarboxylase, subunit H"	0.486	0.5	0.261	0.862	0.01	0.657	0.501	0.348	0.642	0.724	0.504	0.726	0.818	0.838
YAL045C	YAL045C	hypothetical protein	0.627	0.787	0.84	0.533	0.54	0.737	0.886	0.692	0.863	0.524	0.514	0.334	0.512	0.4
YAL046C	YAL046C	weak similarity to hypothetical protein S. pombe	0.058	0.433	0.693	0.866	0.52	0.667	0.464	0.757	0.633	0.803	0.645	0.528	0.7	0.47
YAL047C	SPC72	STU2P Interactant	0.518	0.847	0.888	0.726	0.724	0.494	0.507	0.507	0.656	0.745	0.817	0.716	0.748	0.634
YAL048C	YAL048C	vacuolar aspartic proteasse	0.645	0.561	0.895	0.847	0.009	0.807	0.475	0.591	0.856	0.61	0.458	0.332	0.638	0.416
YAL049C	YAL049C	weak similarity to Legionella small basic protein sbpA	0.377	0.601	0.492	0.855	0.867	0.844	0.742	0.83	0.612	0.812	0.753	0.75	0.635	0.841
YAL051W	OAF1	peroxisome proliferating transcription factor	0.304	0.533	0.138	0.367	0.55	0.444	0.703	0.591	0.429	0.515	0.314	0.357	0.182	0.436
YAL053W	YAL053W	"strong similarity to hypothetical proteins YOR365c,YGL139w,YPL221w"	0.816	0.215	0.885	0.391	0.239	0.879	0.756	0.072	0.837	0.854	0.638	0.876	0.709	0.908
YAL054C	ACS1	acetyl-CoA synthetase	0.816	0.215	0.885	0.391	0.239	0.879	0.756	0.072	0.837	0.854	0.638	0.876	0.709	0.908
YAL055W	PEX22	peroxisomal matrix protein import	0.197	0.28	0.23	0.413	0.529	0.304	0.256	0.326	0.377	0.354	0.128	0.519	0.269	0.386
YAL056W	GPE2	similarity to hypothetical protein YOR371c	0.561	0.843	0.5	0.837	0.424	0.942	0.69	0.305	0.725	0.735	0.742	0.496	0.75	0.796
YAL058C-A	#REF!		0.561	0.843	0.5	0.837	0.424	0.942	0.69	0.305	0.725	0.735	0.742	0.496	0.75	0.796
YAL058W	CNE1	"calnexin, involved in regulation of secretion"	0.429	0.835	0.875	0.811	0.784	0.742	0.499	0.809	0.828	0.363	0.874	0.899	0.779	0.461
YAL059W	ECM1	involved in cell wall biosynthesis	0.531	0.383	0.535	0.378	0.612	0.211	0.624	0.508	0.354	0.465	0.348	0.23	0.276	0.413
YAL060W	FUN49	"stereospecific (2R, 3R)-2,3-butanediol dehydrogenase"	0.575	0.06	0.703	0.693	0.051	0.874	0.868	0.47	0.913	0.721	0.471	0.577	0.347	0.975
YAL061W	FUN50	similarity to alcohol/sorbitol dehydrogenase	0.637	0.679	0.847	0.822	0.415	0.913	0.795	0.801	0.827	0.727	0.845	0.9	0.85	0.948
YAL062W	GDH3	NADP-glutamate dehydrogenase	0.019	0.083	0.065	0.715	0.694	0.487	0.279	0.375	0.482	0.309	0.322	0.219	0.23	0.197
YAL063C	FLO9	strong similarity to FLO1P	0.506	0.485	0.287	0.891	0.795	0.938	0.762	0.831	0.792	0.71	0.867	0.928	0.704	0.78
YAL064C-A	YAL064C-A	"strong similarity to FLO1P, FLO5P - putative pseudogene"	0.046	0.236	0.285	0.91	0.222	0.907	0.609	0.746	0.748	0.678	0.485	0.669	0.681	0.41
YAL064W	YAL064W	hypothetical protein	0.448	NaN	0.002	0.967	0.871	0.985	0.862	0.864	0.848	0.893	0.961	0.869	0.736	0.879
YAL065C	YAL065C	strong similarity to FLO1P and FLO9P - putative pseudogene	0.046	0.236	0.285	0.91	0.222	0.907	0.609	0.746	0.748	0.678	0.485	0.669	0.681	0.41
YAL067C	SEO1	suppressor of sulfoxyde ethionine resistance	0.046	0.236	0.285	0.91	0.222	0.907	0.609	0.746	0.748	0.678	0.485	0.669	0.681	0.41
YAL068C	YAL068C	strong similarity to subtelomeric encoded proteins	0.046	0.236	0.285	0.91	0.222	0.907	0.609	0.746	0.748	0.678	0.485	0.669	0.681	0.41
YAR002C-A	ERP1	p24 protein involved in membrane trafficking	0.456	0.662	0.473	0.458	0.623	0.538	0.457	0.476	0.373	0.459	0.551	0.458	0.481	0.276
YAR002W	NUP60	peroxisomal matrix protein import	0.487	0.436	0.465	NaN	0.48	0.214	0.448	0.384	0.18	0.186	0.222	0.471	0.138	0.028
YAR003W	FUN16	similarity to human RB protein binding protein	0.456	0.662	0.473	0.458	0.623	0.538	0.457	0.476	0.373	0.459	0.551	0.458	0.481	0.276
YAR007C	RFA1	"DNA replication factor A, 69 KD subunit"	0.219	0.428	0.361	0.431	0.532	0.323	0.283	0.15	0.246	0.381	0.606	0.61	0.4	0.388
YAR008W	SEN34	tRNA splicing endonuclease gamma subunit	0.219	0.428	0.361	0.431	0.532	0.323	0.283	0.15	0.246	0.381	0.606	0.61	0.4	0.388
YAR009C	#REF!		0.268	0.179	0.116	0.319	0.608	0.024	0.228	0.036	0.19	0.131	0.039	0.012	0.025	0.088
YAR010C	#REF!		0.869	0.437	0.782	0.726	0.663	0.509	0.968	0.427	0.759	0.548	0.169	0.515	0.334	0.884
YAR014C	BUD14	"similarity to hypothetical protein,S.pombe"	0.547	0.849	0.893	0.747	0.065	0.785	0.641	0.804	0.821	0.91	0.93	0.845	0.974	0.94
YAR015W	ADE1	phosphoribosylamidoimidazole-succinocarboxamide synthase	0.547	0.849	0.893	0.747	0.065	0.785	0.641	0.804	0.821	0.91	0.93	0.845	0.974	0.94
YAR018C	KIN3	ser/thr protein kinase	0.548	0.803	0.799	0.187	0.289	0.164	0.369	0.472	0.421	0.663	0.098	0.168	0.197	0.194
YAR019C	CDC15	protein kinase of the MAP kinase kinase kinase family	0.228	0.853	0.668	0.873	0.801	0.527	0.612	0.841	0.449	0.704	0.869	0.771	NaN	0.45
YAR020C	PAU7	strong similarity to members of the SRP1P/TIP1P family	0.463	0.767	0.522	0.887	0.931	0.763	0.548	0.779	0.463	0.658	0.787	0.727	0.804	0.457
YAR023C	YAR023C	"strong similarity to FUN55P, FUN59P, YGL051w, YCR007c, YGL053w, YAR031w and YAR028w"	0.582	0.808	0.497	0.851	0.7	0.511	0.522	0.357	0.541	0.593	0.685	0.768	0.678	0.676
YAR027W	FUN55	"strong similarity to YAR028w, YCR007c, YGL053w, YAR031w, FUN59P and YGL051w"	0.474	0.144	0.687	0.588	NaN	0.384	0.326	0.377	0.435	0.432	0.346	0.404	0.313	0.419
YAR028W	YAR028W	"strong similarity to FUN55P, YGL053w, YCR007c, YAR031w, FUN59P and YGL051w"	0.599	0.928	0.826	0.796	0.755	0.613	0.607	0.536	0.585	0.723	0.82	0.706	0.758	0.483
YAR029W	FUN57	"strong similarity to YAR031w, YGL053w, FUN55P, FUN59P and YGL051w"	0.056	0.229	0.193	0.521	0.559	0.247	0.154	0.507	0.263	0.24	0.673	0.483	0.562	0.33
YAR030C	YAR030C	hypothetical protein	0.286	0.838	0.571	0.53	0.469	0.25	0.415	0.682	0.452	0.545	0.584	0.48	0.752	0.43
YAR031W	PRM9	"strong similarity to YGL053w, FUN59P, YGL051w, FUN55P, YAR028w and YCR007c"	0.056	0.229	0.193	0.521	0.559	0.247	0.154	0.507	0.263	0.24	0.673	0.483	0.562	0.33
YAR033W	FUN59	"strong similarity to YGL051w, YGL053w, YAR031w, FUN55P, YAR028w and YCR007c"	0.286	0.838	0.571	0.53	0.469	0.25	0.415	0.682	0.452	0.545	0.584	0.48	0.752	0.43
YAR035W	YAT1	"carnitine acetyltransferase, mitochondrial"	0.425	0.107	0.353	0.08	0.054	0.411	0.582	0.06	0.524	0.707	0.46	0.519	0.348	0.557
YAR042W	SWH1	similarity to mammalian oxysterol-binding proteins	0.301	0.367	0.538	0.545	0.644	0.219	0.44	0.801	0.556	0.515	0.581	0.498	0.662	0.452
YAR044W	OSH1	similarity to human oxysterol binding protein (OSBP)	0.238	0.569	0.403	0.668	0.812	0.678	0.73	0.638	0.696	0.774	0.825	0.754	0.889	0.741
YAR047C	YAR047C	hypothetical protein	NaN	0.432	0.498	0.909	0.604	0.954	0.502	0.783	0.833	0.764	0.828	0.823	0.907	0.861
YAR050W	FLO1	cell wall protein involved in flocculation	0.039	0.127	NaN	0.321	0.372	0.46	0.091	0.149	0.218	0.174	0.455	0.317	0.312	0.176
YAR053W	YAR053W	hypothetical protein	0.455	0.87	0.718	0.593	0.705	0.812	0.451	0.807	0.852	0.727	0.789	0.679	0.709	0.647
YAR060C	YAR060C	identical to hypothetical protein YHR212c	0.806	0.942	0.546	0.542	0.728	0.812	0.483	0.825	0.836	0.747	0.879	0.854	0.861	0.759
YAR061W	YAR061W	strong similarity to N-terminus of FLO1P - putative pseudogene	0.806	0.942	0.546	0.542	0.728	0.812	0.483	0.825	0.836	0.747	0.879	0.854	0.861	0.759
YAR062W	YAR062W	strong similarity to FLO1P - putative pseudogene	0.238	0.499	0.491	0.726	0.709	0.75	0.372	0.509	0.556	0.496	0.839	0.756	0.875	0.557
YAR064W	YAR064W	hypothetical protein	0.124	0.108	0.177	0.609	0.694	0.179	0.247	0.171	0.131	0.383	0.285	0.212	0.237	0.254
YAR066W	YAR066W	"similarity to Sta1p, identical to YHR214w hypothetical protein"	0.259	0.588	0.431	0.676	0.498	0.924	0.771	0.92	0.801	0.811	0.922	0.896	0.868	0.816
YAR068W	YAR068W	strong similarity to hypothetical protein YHR214w-a	0.489	0.441	0.383	0.705	0.957	0.716	0.842	0.828	0.839	0.776	0.825	0.523	0.727	0.841
YAR069C	YAR069C	hypothetical protein	0.612	0.725	0.505	0.491	0.658	0.508	0.591	0.759	0.487	0.684	0.742	0.613	0.409	0.541
YAR070C	YAR070C	hypothetical protein	0.259	0.498	0.398	0.557	0.125	0.596	0.409	0.338	0.469	0.431	0.438	0.678	0.425	0.472
YAR071W	PHO11	secreted acid phosphatase	0.259	0.498	0.398	0.557	0.125	0.596	0.409	0.338	0.469	0.431	0.438	0.678	0.425	0.472
YAR073W	IMD1	strong similarity to IMP dehydrogenases	0.712	0.656	0.33	0.574	0.12	0.796	0.455	0.384	0.56	0.403	0.749	0.798	0.708	0.409
YAR075W	YAR075W	strong similarity to IMP dehydrogenases	0.712	0.656	0.33	0.574	0.12	0.796	0.455	0.384	0.56	0.403	0.749	0.798	0.708	0.409
YBL001C	ECM15	involved in cell wall biogenesis and architecture	0.052	0.073	0.193	0.366	0.316	0.64	0.059	0.145	0.045	0.075	0.122	0.353	0.142	0.114
YBL002W	HTB2	histone H2B.2	0.898	0.44	0.733	0.475	0.42	0.709	0.931	0.467	0.841	0.889	0.351	0.743	0.649	0.873
YBL003C	HTA2	histone H2A.2	0.898	0.44	0.733	0.475	0.42	0.709	0.931	0.467	0.841	0.889	0.351	0.743	0.649	0.873
YBL004W	YBL004W	weak similarity to Papaya ringspot virus polyprotein	0.759	0.448	0.438	0.97	0.87	0.966	0.674	0.352	0.49	0.627	0.706	0.752	0.709	0.875
YBL005W	PDR3	pleiotropic drug resistance regulatory protein	0.548	0.129	0.412	0.437	0.146	0.154	0.538	0.411	0.437	0.5	0.333	0.238	0.402	0.671
YBL005W-A	#REF!		0.241	0.128	0.325	0.281	0.616	0.117	0.532	0.418	0.309	0.284	0.236	0.061	0.345	0.572
YBL005W-B	#REF!		0.241	0.128	0.325	0.281	0.616	0.117	0.532	0.418	0.309	0.284	0.236	0.061	0.345	0.572
YBL006C	YBL006C	hypothetical protein	0.548	0.129	0.412	0.437	0.146	0.154	0.538	0.411	0.437	0.5	0.333	0.238	0.402	0.671
YBL007C	SLA1	cytoskeleton assembly control protein	0.152	0.249	0.513	0.685	0.683	0.7	0.691	0.735	0.5	0.656	0.468	0.392	0.752	0.862
YBL008W	HIR1	histone transcription regulator	0.171	0.398	0.466	0.636	0.518	0.188	0.139	0.462	0.211	0.354	0.267	0.172	0.223	0.275
YBL009W	YBL009W	strong similarity to DNA damage responsive ALK1P	0.189	0.233	0.077	0.361	0.301	0.164	0.114	0.184	0.144	0.164	0.553	0.404	0.466	0.451
YBL010C	YBL010C	hypothetical protein	0.189	0.233	0.077	0.361	0.301	0.164	0.114	0.184	0.144	0.164	0.553	0.404	0.466	0.451
YBL011W	SCT1	suppresses a choline-transport mutant	0.248	0.363	0.1	NaN	0.804	0.465	0.757	0.758	0.594	0.711	0.756	0.465	0.747	0.35
YBL012C	YBL012C	questionable ORF	0.194	0.137	0.179	0.421	0.36	0.19	0.133	0.385	0.264	0.085	0.173	0.226	0.412	0.177
YBL013W	FMT1	Methionyl-tRNA Transformylase	0.178	0.368	0.125	0.406	0.59	0.455	0.444	0.76	0.369	0.448	0.758	0.627	0.772	0.438
YBL014C	RRN6	RNA polymerase I specific transcription initiation factor	0.178	0.368	0.125	0.406	0.59	0.455	0.444	0.76	0.369	0.448	0.758	0.627	0.772	0.438
YBL015W	ACH1	acetyl-CoA hydrolase	0.484	0.271	0.43	0.043	0.021	0.382	0.233	0.015	0.495	0.683	0.402	0.3	0.596	0.456
YBL016W	FUS3	mitogen-activated protein kinase (MAP kinase)	0.412	0.45	0.655	0.948	0.915	0.975	0.604	0.707	0.806	0.909	0.713	0.729	0.864	0.817
YBL017C	PEP1	vacuolar protein sorting/targeting protein	0.412	0.45	0.655	0.948	0.915	0.975	0.604	0.707	0.806	0.909	0.713	0.729	0.864	0.817
YBL018C	POP8	required for processing of tRNAs and rRNAs	0.169	0.173	0.189	0.179	0.06	0.11	0.102	0.102	0.054	0.067	0.155	0.094	0.337	0.121
YBL019W	APN2	"AP endonuclease, exonuclease III homolog"	0.078	0.051	0.005	0.15	0.342	0.062	0.046	0.062	0.069	0.034	0.118	0.164	0.148	0.063
YBL020W	RFT1	nuclear division protein	0.16	0.685	0.175	0.803	0.922	0.932	0.859	0.902	0.852	0.84	0.93	0.773	0.9	0.929
YBL021C	HAP3	CCAAT-binding factor subunit	0.16	0.685	0.175	0.803	0.922	0.932	0.859	0.902	0.852	0.84	0.93	0.773	0.9	0.929
YBL022C	PIM1	"ATP-dependent protease, mitochondrial"	0.858	0.928	0.82	0.751	0.792	0.881	0.943	0.928	0.947	0.942	0.897	0.938	0.946	0.852
YBL023C	MCM2	"member of the MCM2P,MCM3P,CDC46P family"	0.453	0.523	0.522	0.375	0.584	0.566	0.692	0.671	0.811	0.647	0.285	0.486	0.403	0.421
YBL024W	NCL1	tRNA (cytosine-5-)-methyltransferase	0.597	0.837	0.68	0.627	0.804	0.889	0.795	0.905	0.878	0.789	0.952	0.899	0.851	0.794
YBL025W	RRN10	RNA polymerase I-specific transcription initiation factor	0.536	0.271	0.335	0.048	0.11	0.076	0.082	0.021	0.352	0.129	0.048	0.176	0.085	0.071
YBL026W	LSM2	Sm-like (Lsm) protein	0.57	0.202	0.82	0.23	0.228	0.912	0.717	0.705	0.706	0.517	0.546	0.916	0.522	0.95
YBL027W	RPL19B	60S large subunit ribosomal protein L19.e	0.813	0.762	0.735	0	0.605	0.85	0.982	0.967	0.942	0.933	0.897	0.975	0.891	0.898
YBL028C	YBL028C	hypothetical protein - involved in mating-type regulation	0.813	0.762	0.735	0	0.605	0.85	0.982	0.967	0.942	0.933	0.897	0.975	0.891	0.898
YBL029W	YBL029W	hypothetical protein	0.993	0.335	0.949	0.732	0.351	1	0.996	0.869	0.974	0.989	0.98	0.998	0.724	0.999
YBL030C	PET9	ADP/ATP carrier protein (MCF)	0.698	0.346	0.901	0.489	0.143	0.93	0.91	0.748	0.906	0.872	0.79	0.4	0.172	0.933
YBL031W	SHE1	hypothetical protein	0.873	0.956	0.914	0.626	0.739	0.259	0.457	0.704	0.561	0.686	0.727	0.656	0.559	0.406
YBL032W	YBL032W	weak similarity to hnRNP complex protein homolog YBR233w	0.667	0.239	0.635	0.596	0.278	0.463	0.921	0.857	0.758	0.89	0.259	0.383	0.146	0.923
YBL033C	RIB1	GTP cyclohydrolase II	0.667	0.239	0.635	0.596	0.278	0.463	0.921	0.857	0.758	0.89	0.259	0.383	0.146	0.923
YBL034C	STU1	mitotic spindle protein	0.794	0.789	0.698	0.539	0.616	0.153	0.421	0.483	0.669	0.536	0.499	0.365	0.582	0.402
YBL035C	POL12	"DNA-directed DNA polymerase alpha, 70 KD subunit"	0.677	0.871	0.828	0.251	0.216	0.246	0.383	0.311	0.376	0.453	0.482	0.314	0.498	0.21
YBL036C	YBL036C	strong similarity to C.elegans hypothetical protein	0.191	0.242	0.211	0.584	0.603	0.279	0.125	0.135	0.315	0.163	0.122	0.287	0.32	0.224
YBL037W	APL3	"AP-2 complex subunit, alpha-adaptin, 113 KD"	0.228	0.312	0.288	0.481	0.554	0.038	0.165	0.447	0.151	0.337	0.252	0.194	0.392	0.453
YBL038W	MRPL16	"ribosomal protein of the large subunit, mitochondrial"	0.372	0.171	0.227	0.054	0.416	0.081	0.043	0.08	0.016	0.036	0.079	0.186	0.082	0.13
YBL039C	URA7	CTP synthase 1	0.372	0.171	0.227	0.054	0.416	0.081	0.043	0.08	0.016	0.036	0.079	0.186	0.082	0.13
YBL040C	ERD2	ER lumen protein-retaining receptor	0.288	0.245	0.438	0.475	0.575	0.243	0.305	0.626	0.355	0.377	0.442	0.579	0.589	0.42
YBL041W	PRE7	20S proteasome subunit(beta6)	0.636	0	0.143	0.031	NaN	0.141	0.741	0.37	0.655	0.726	0.151	0.235	0.071	0.776
YBL042C	FUI1	uridine transport protein	0.636	0	0.143	0.031	NaN	0.141	0.741	0.37	0.655	0.726	0.151	0.235	0.071	0.776
YBL043W	ECM13	involved in cell wall structure of biosynthesis	0.894	0.573	0.642	0.739	0	0.836	0.91	0.172	0.846	0.919	0.773	0.001	0.509	0.917
YBL044W	YBL044W	hypothetical protein	0.789	0.755	0.853	0.73	0.001	0.792	0.828	0.509	0.794	0.87	0.721	0.15	0.589	0.774
YBL045C	COR1	ubiquinol--cytochrome-c reductase 44K core protein	0.789	0.755	0.853	0.73	0.001	0.792	0.828	0.509	0.794	0.87	0.721	0.15	0.589	0.774
YBL046W	YBL046W	weak similarity to hypothetical protein YOR054c	0.509	0.837	0.972	0.472	0.566	0.563	0.579	0.671	0.509	0.503	0.543	0.523	0.594	0.563
YBL047C	EDE1	similarity to mouse eps15R protein	0.509	0.837	0.972	0.472	0.566	0.563	0.579	0.671	0.509	0.503	0.543	0.523	0.594	0.563
YBL048W	YBL048W	hypothetical protein	0.672	0.803	0.83	0.762	0.578	0.838	0.915	0.913	0.827	0.79	0.774	0.855	0.707	0.843
YBL049W	YBL049W	strong similarity to hypothetical protein - human	0.672	0.803	0.83	0.762	0.578	0.838	0.915	0.913	0.827	0.79	0.774	0.855	0.707	0.843
YBL050W	SEC17	transport vesicle fusion protein	0.19	0.349	0.191	0.511	0.334	0.241	0.076	0.05	0.116	0.313	0.295	0.286	0.56	0.482
YBL051C	PIN4	similarity to S.pombe Z66568_C protein	0.19	0.349	0.191	0.511	0.334	0.241	0.076	0.05	0.116	0.313	0.295	0.286	0.56	0.482
YBL052C	SAS3	silencing protein	0.31	0.428	0.249	0.684	0.918	0.912	0.766	0.664	0.675	0.656	0.728	0.681	0.675	0.638
YBL053W	YBL053W	questionable ORF	0.756	0.438	0.48	0.645	0.417	0.305	0.422	0.388	0.317	0.274	0.589	NaN	NaN	0.469
YBL054W	YBL054W	weak similarity to transforming protein (B-myb)	0.321	0.916	0.757	0.135	0.532	0.512	0.622	0.76	0.645	0.714	0.842	0.78	0.762	0.618
YBL055C	YBL055C	similarity to hypothetical S.pombe protein	0.321	0.916	0.757	0.135	0.532	0.512	0.622	0.76	0.645	0.714	0.842	0.78	0.762	0.618
YBL056W	PTC3	ser/thr protein phosphatase PP2C	0.641	0.818	0.844	0.528	0.591	0.414	0.574	0.583	0.459	0.481	0.628	0.642	0.796	0.345
