#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
BIRC5	STAT6	9606.ENSP00000301633	9606.ENSP00000300134	0	0	0	0	0.050	0.054	0.500	0.142	0.563
BIRC5	CXCR4	9606.ENSP00000301633	9606.ENSP00000386884	0	0	0	0	0.087	0	0	0.515	0.538
BIRC5	HIF1A	9606.ENSP00000301633	9606.ENSP00000437955	0	0	0	0	0.042	0	0.400	0.399	0.624
BIRC5	CTNNB1	9606.ENSP00000301633	9606.ENSP00000495360	0	0	0	0	0.070	0.292	0	0.511	0.650
BIRC5	DIABLO-2	9606.ENSP00000301633	9606.ENSP00000398495	0	0	0	0	0	0.561	0	0.418	0.733
BIRC5	MYC	9606.ENSP00000301633	9606.ENSP00000478887	0	0	0	0	0.091	0.051	0.400	0.702	0.825
BIRC5	DIABLO	9606.ENSP00000301633	9606.ENSP00000499058	0	0	0	0	0	0.867	0	0.418	0.919
BIRC5	XIAP	9606.ENSP00000301633	9606.ENSP00000360242	0	0	0	0	0	0.735	0	0.855	0.960
CCL20	NFKB1	9606.ENSP00000351671	9606.ENSP00000226574	0	0	0	0	0.122	0.095	0	0.687	0.729
CCL20	IRF1	9606.ENSP00000351671	9606.ENSP00000245414	0	0	0	0	0.085	0.048	0	0.390	0.422
CCL20	IL1B	9606.ENSP00000351671	9606.ENSP00000263341	0	0	0	0	0.338	0	0.400	0.903	0.958
CCL20	STAT3	9606.ENSP00000351671	9606.ENSP00000264657	0	0	0	0	0.056	0	0.500	0.576	0.782
CCL20	IFNA1	9606.ENSP00000351671	9606.ENSP00000276927	0	0	0	0	0.048	0	0	0.507	0.510
CCL20	IL15	9606.ENSP00000351671	9606.ENSP00000296545	0	0	0	0	0.061	0	0	0.581	0.589
CCL20	CXCL8	9606.ENSP00000351671	9606.ENSP00000306512	0	0	0	0	0.485	0	0.500	0.791	0.941
CCL20	IL1R2	9606.ENSP00000351671	9606.ENSP00000330959	0	0	0	0	0.086	0.091	0	0.603	0.642
CCL20	PTPRC	9606.ENSP00000351671	9606.ENSP00000411355	0	0	0	0	0.047	0	0	0.477	0.481
CCL20	STAT1	9606.ENSP00000351671	9606.ENSP00000354394	0	0	0	0	0.088	0	0	0.479	0.504
CCL20	ITGAM	9606.ENSP00000351671	9606.ENSP00000496959	0	0	0	0	0.055	0	0	0.512	0.519
CCL20	SRC	9606.ENSP00000351671	9606.ENSP00000362680	0	0	0	0	0.042	0.084	0.500	0.248	0.625
CCL20	TNF	9606.ENSP00000351671	9606.ENSP00000398698	0	0	0	0	0.297	0.065	0.400	0.847	0.931
CCL20	IL6	9606.ENSP00000351671	9606.ENSP00000385675	0	0	0	0	0.332	0	0.400	0.852	0.935
CCL20	CXCR4	9606.ENSP00000351671	9606.ENSP00000386884	0	0	0	0	0.061	0	0.650	0.885	0.958
CD19	NFKB1	9606.ENSP00000313419	9606.ENSP00000226574	0	0	0	0	0.087	0	0	0.480	0.505
CD19	IL1B	9606.ENSP00000313419	9606.ENSP00000263341	0	0	0	0	0.048	0	0	0.684	0.686
CD19	STAT3	9606.ENSP00000313419	9606.ENSP00000264657	0	0	0	0	0.053	0	0	0.722	0.726
CD19	TP53	9606.ENSP00000313419	9606.ENSP00000269305	0	0	0	0	0.103	0	0	0.576	0.603
CD19	IFNA1	9606.ENSP00000313419	9606.ENSP00000276927	0	0	0	0	0	0	0	0.642	0.642
CD19	STAT5B	9606.ENSP00000313419	9606.ENSP00000293328	0	0	0	0	0.065	0	0	0.686	0.693
CD19	IL15	9606.ENSP00000313419	9606.ENSP00000296545	0	0	0	0	0	0	0	0.819	0.819
CD19	STAT6	9606.ENSP00000313419	9606.ENSP00000300134	0	0	0	0	0.087	0	0	0.437	0.464
CD19	CXCL8	9606.ENSP00000313419	9606.ENSP00000306512	0	0	0	0	0.042	0	0	0.581	0.581
CD19	SRC	9606.ENSP00000313419	9606.ENSP00000362680	0	0	0	0	0.060	0	0	0.423	0.434
CD19	STAT1	9606.ENSP00000313419	9606.ENSP00000354394	0	0	0	0	0.058	0	0	0.522	0.531
CD19	HIF1A	9606.ENSP00000313419	9606.ENSP00000437955	0	0	0	0	0	0	0	0.547	0.547
CD19	KITLG	9606.ENSP00000313419	9606.ENSP00000495951	0	0	0	0	0	0	0	0.582	0.582
CD19	MYC	9606.ENSP00000313419	9606.ENSP00000478887	0	0	0	0	0.044	0	0	0.582	0.583
CD19	MATK	9606.ENSP00000313419	9606.ENSP00000378485	0	0	0	0	0.064	0	0	0.583	0.593
CD19	JAK1	9606.ENSP00000313419	9606.ENSP00000499900	0	0	0	0	0.103	0	0	0.590	0.616
CD19	LCK	9606.ENSP00000313419	9606.ENSP00000477713	0	0	0	0	0.225	0	0	0.621	0.693
CD19	STAT5A	9606.ENSP00000313419	9606.ENSP00000341208	0	0	0	0	0.105	0	0	0.680	0.701
CD19	TNF	9606.ENSP00000313419	9606.ENSP00000398698	0	0	0	0	0.084	0	0	0.778	0.788
CD19	CXCR4	9606.ENSP00000313419	9606.ENSP00000386884	0	0	0	0	0.153	0	0	0.794	0.818
CD19	IL6	9606.ENSP00000313419	9606.ENSP00000385675	0	0	0	0	0.056	0	0	0.834	0.836
CD19	ITGAM	9606.ENSP00000313419	9606.ENSP00000496959	0	0	0	0	0.116	0	0	0.905	0.912
CD19	PTPRC	9606.ENSP00000313419	9606.ENSP00000411355	0	0	0	0	0.140	0	0	0.912	0.921
CTNNB1	NFKB1	9606.ENSP00000495360	9606.ENSP00000226574	0	0	0	0	0.060	0.777	0	0.845	0.964
CTNNB1	MDM2	9606.ENSP00000495360	9606.ENSP00000258149	0	0	0	0	0.067	0	0	0.818	0.823
CTNNB1	IL1B	9606.ENSP00000495360	9606.ENSP00000263341	0	0	0	0	0	0	0	0.745	0.745
CTNNB1	STAT3	9606.ENSP00000495360	9606.ENSP00000264657	0	0	0	0	0.128	0	0	0.887	0.897
CTNNB1	DNMT3A	9606.ENSP00000495360	9606.ENSP00000264709	0	0	0	0	0.069	0.063	0	0.479	0.506
CTNNB1	TP53	9606.ENSP00000495360	9606.ENSP00000269305	0	0	0	0	0.049	0	0	0.927	0.927
CTNNB1	IFNA1	9606.ENSP00000495360	9606.ENSP00000276927	0	0	0	0	0.074	0	0	0.396	0.416
CTNNB1	STAT5B	9606.ENSP00000495360	9606.ENSP00000293328	0	0	0	0	0.108	0	0	0.696	0.717
CTNNB1	IL15	9606.ENSP00000495360	9606.ENSP00000296545	0	0	0	0	0	0	0	0.570	0.570
CTNNB1	STAT6	9606.ENSP00000495360	9606.ENSP00000300134	0	0	0	0	0.068	0	0	0.441	0.457
CTNNB1	CXCL8	9606.ENSP00000495360	9606.ENSP00000306512	0	0	0	0	0.055	0	0	0.731	0.734
CTNNB1	KDM4D	9606.ENSP00000495360	9606.ENSP00000334181	0	0	0	0	0	0	0	0.514	0.514
CTNNB1	STAT5A	9606.ENSP00000495360	9606.ENSP00000341208	0	0	0	0	0.086	0	0	0.695	0.709
CTNNB1	STAT1	9606.ENSP00000495360	9606.ENSP00000354394	0	0	0	0	0.087	0.130	0	0.682	0.725
CTNNB1	XIAP	9606.ENSP00000495360	9606.ENSP00000360242	0	0	0	0	0.081	0	0	0.514	0.535
CTNNB1	SRC	9606.ENSP00000495360	9606.ENSP00000362680	0	0	0	0	0.042	0.539	0.900	0.986	0.999
CTNNB1	IL6	9606.ENSP00000495360	9606.ENSP00000385675	0	0	0	0	0	0	0	0.813	0.813
CTNNB1	CXCR4	9606.ENSP00000495360	9606.ENSP00000386884	0	0	0	0	0.049	0	0	0.618	0.621
CTNNB1	TNF	9606.ENSP00000495360	9606.ENSP00000398698	0	0	0	0	0	0	0	0.715	0.715
CTNNB1	PTPRC	9606.ENSP00000495360	9606.ENSP00000411355	0	0	0	0	0.066	0.386	0	0.575	0.735
CTNNB1	HIF1A	9606.ENSP00000495360	9606.ENSP00000437955	0	0	0	0	0.260	0.785	0	0.989	0.998
CTNNB1	LCK	9606.ENSP00000495360	9606.ENSP00000477713	0	0	0	0	0.049	0.098	0	0.380	0.421
CTNNB1	MYC	9606.ENSP00000495360	9606.ENSP00000478887	0	0	0	0	0.058	0.567	0.500	0.937	0.985
CTNNB1	ITGAM	9606.ENSP00000495360	9606.ENSP00000496959	0	0	0	0	0	0.053	0	0.435	0.442
CTNNB1	KITLG	9606.ENSP00000495360	9606.ENSP00000495951	0	0	0	0	0	0	0	0.473	0.473
CTNNB1	JAK1	9606.ENSP00000495360	9606.ENSP00000499900	0	0	0	0	0.127	0.098	0	0.479	0.554
CXCL8	NFKB1	9606.ENSP00000306512	9606.ENSP00000226574	0	0	0	0	0.143	0	0.900	0.881	0.988
CXCL8	IRF1	9606.ENSP00000306512	9606.ENSP00000245414	0	0	0	0	0.143	0	0	0.523	0.575
CXCL8	IL1B	9606.ENSP00000306512	9606.ENSP00000263341	0	0	0	0	0.776	0	0.400	0.962	0.994
CXCL8	STAT3	9606.ENSP00000306512	9606.ENSP00000264657	0	0	0	0	0.066	0	0.500	0.720	0.857
CXCL8	TP53	9606.ENSP00000306512	9606.ENSP00000269305	0	0	0	0	0	0.161	0	0.777	0.804
CXCL8	IFNA1	9606.ENSP00000306512	9606.ENSP00000276927	0	0	0	0	0.055	0	0	0.774	0.777
CXCL8	STAT5B	9606.ENSP00000306512	9606.ENSP00000293328	0	0	0	0	0.060	0	0	0.430	0.441
CXCL8	IL15	9606.ENSP00000306512	9606.ENSP00000296545	0	0	0	0	0.063	0	0	0.794	0.798
CXCL8	STAT6	9606.ENSP00000306512	9606.ENSP00000300134	0	0	0	0	0.085	0	0	0.471	0.495
CXCL8	IFIT3	9606.ENSP00000306512	9606.ENSP00000360876	0	0	0	0	0.079	0	0	0.389	0.413
CXCL8	IFIT2	9606.ENSP00000306512	9606.ENSP00000490935	0	0	0	0	0.074	0	0	0.399	0.420
CXCL8	STAT2	9606.ENSP00000306512	9606.ENSP00000315768	0	0	0	0	0.060	0	0	0.412	0.423
CXCL8	STAT5A	9606.ENSP00000306512	9606.ENSP00000341208	0	0	0	0	0.104	0	0	0.434	0.471
CXCL8	KITLG	9606.ENSP00000306512	9606.ENSP00000495951	0	0	0	0	0	0	0	0.519	0.519
CXCL8	PTPRC	9606.ENSP00000306512	9606.ENSP00000411355	0	0	0	0	0.080	0	0	0.592	0.608
CXCL8	MYC	9606.ENSP00000306512	9606.ENSP00000478887	0	0	0	0	0.135	0	0	0.574	0.615
CXCL8	ITGAM	9606.ENSP00000306512	9606.ENSP00000496959	0	0	0	0	0.082	0	0	0.667	0.681
CXCL8	JAK1	9606.ENSP00000306512	9606.ENSP00000499900	0	0	0	0	0.054	0	0	0.683	0.687
CXCL8	IL1R2	9606.ENSP00000306512	9606.ENSP00000330959	0	0	0	0	0.112	0	0	0.663	0.688
CXCL8	HIF1A	9606.ENSP00000306512	9606.ENSP00000437955	0	0	0	0	0.184	0	0	0.667	0.716
CXCL8	STAT1	9606.ENSP00000306512	9606.ENSP00000354394	0	0	0	0	0.068	0	0	0.758	0.765
CXCL8	SRC	9606.ENSP00000306512	9606.ENSP00000362680	0	0	0	0	0	0	0.500	0.581	0.781
CXCL8	TNF	9606.ENSP00000306512	9606.ENSP00000398698	0	0	0	0	0.294	0	0.400	0.965	0.983
CXCL8	IL6	9606.ENSP00000306512	9606.ENSP00000385675	0	0	0	0	0.445	0	0.400	0.976	0.991
CXCL8	CXCR4	9606.ENSP00000306512	9606.ENSP00000386884	0	0	0	0	0.121	0	0.650	0.991	0.997
CXCR4	NFKB1	9606.ENSP00000386884	9606.ENSP00000226574	0	0	0	0	0.107	0.045	0	0.714	0.734
CXCR4	IRF1	9606.ENSP00000386884	9606.ENSP00000245414	0	0	0	0	0.142	0	0	0.347	0.416
CXCR4	IL1B	9606.ENSP00000386884	9606.ENSP00000263341	0	0	0	0	0.128	0	0	0.821	0.838
CXCR4	STAT3	9606.ENSP00000386884	9606.ENSP00000264657	0	0	0	0	0.069	0	0	0.768	0.775
CXCR4	TP53	9606.ENSP00000386884	9606.ENSP00000269305	0	0	0	0	0	0	0	0.614	0.614
CXCR4	IFNA1	9606.ENSP00000386884	9606.ENSP00000276927	0	0	0	0	0	0	0	0.540	0.540
CXCR4	STAT5B	9606.ENSP00000386884	9606.ENSP00000293328	0	0	0	0	0.088	0	0	0.419	0.448
CXCR4	IL15	9606.ENSP00000386884	9606.ENSP00000296545	0	0	0	0	0.102	0	0	0.520	0.550
CXCR4	IL1R2	9606.ENSP00000386884	9606.ENSP00000330959	0	0	0	0	0.063	0.091	0	0.427	0.469
CXCR4	STAT5A	9606.ENSP00000386884	9606.ENSP00000341208	0	0	0	0	0.145	0	0	0.420	0.483
CXCR4	STAT1	9606.ENSP00000386884	9606.ENSP00000354394	0	0	0	0	0.088	0	0	0.487	0.513
CXCR4	SRC	9606.ENSP00000386884	9606.ENSP00000362680	0	0	0	0	0.091	0	0.500	0.725	0.864
CXCR4	MATK	9606.ENSP00000386884	9606.ENSP00000378485	0	0	0	0	0.056	0	0	0.398	0.408
CXCR4	IL6	9606.ENSP00000386884	9606.ENSP00000385675	0	0	0	0	0.100	0	0	0.916	0.921
CXCR4	JAK1	9606.ENSP00000386884	9606.ENSP00000499900	0	0	0	0	0.126	0.076	0	0.409	0.481
CXCR4	LCK	9606.ENSP00000386884	9606.ENSP00000477713	0	0	0	0	0.174	0	0	0.506	0.574
CXCR4	MYC	9606.ENSP00000386884	9606.ENSP00000478887	0	0	0	0	0.067	0	0	0.583	0.594
CXCR4	ITGAM	9606.ENSP00000386884	9606.ENSP00000496959	0	0	0	0	0.163	0	0	0.673	0.715
CXCR4	TNF	9606.ENSP00000386884	9606.ENSP00000398698	0	0	0	0	0.131	0	0	0.795	0.814
CXCR4	HIF1A	9606.ENSP00000386884	9606.ENSP00000437955	0	0	0	0	0.076	0.226	0	0.891	0.915
CXCR4	PTPRC	9606.ENSP00000386884	9606.ENSP00000411355	0	0	0	0	0.268	0.292	0	0.881	0.933
CXCR4	KITLG	9606.ENSP00000386884	9606.ENSP00000495951	0	0	0	0	0	0	0	0.960	0.960
DIABLO	NFKB1	9606.ENSP00000499058	9606.ENSP00000226574	0	0	0	0	0.042	0	0	0.448	0.448
DIABLO	MDM2	9606.ENSP00000499058	9606.ENSP00000258149	0	0	0	0	0	0	0	0.571	0.571
DIABLO	TP53	9606.ENSP00000499058	9606.ENSP00000269305	0	0	0	0	0.078	0	0	0.633	0.647
DIABLO	XAF1	9606.ENSP00000499058	9606.ENSP00000354822	0	0	0	0	0	0	0	0.645	0.645
DIABLO	XIAP	9606.ENSP00000499058	9606.ENSP00000360242	0	0	0	0	0	0.996	0	0.999	0.999
DIABLO	DIABLO-2	9606.ENSP00000499058	9606.ENSP00000398495	0	0	0.047	0.986	0	0.900	0.540	0.973	0.998
DIABLO	TNF	9606.ENSP00000499058	9606.ENSP00000398698	0	0	0	0	0	0	0	0.634	0.634
DIABLO	LCK	9606.ENSP00000499058	9606.ENSP00000477713	0	0	0	0	0	0	0	0.598	0.598
DIABLO	MYC	9606.ENSP00000499058	9606.ENSP00000478887	0	0	0	0	0	0	0	0.403	0.403
DIABLO-2	NFKB1	9606.ENSP00000398495	9606.ENSP00000226574	0	0	0	0	0.056	0	0	0.449	0.457
DIABLO-2	MDM2	9606.ENSP00000398495	9606.ENSP00000258149	0	0	0	0	0.049	0	0	0.572	0.575
DIABLO-2	TP53	9606.ENSP00000398495	9606.ENSP00000269305	0	0	0	0	0.078	0	0	0.633	0.647
DIABLO-2	XAF1	9606.ENSP00000398495	9606.ENSP00000354822	0	0	0	0	0	0	0	0.648	0.648
DIABLO-2	XIAP	9606.ENSP00000398495	9606.ENSP00000360242	0	0	0	0	0.056	0.921	0.900	0.999	0.999
DIABLO-2	MYC	9606.ENSP00000398495	9606.ENSP00000478887	0	0	0	0	0	0	0	0.405	0.405
DIABLO-2	LCK	9606.ENSP00000398495	9606.ENSP00000477713	0	0	0	0	0.049	0	0	0.595	0.598
DIABLO-2	TNF	9606.ENSP00000398495	9606.ENSP00000398698	0	0	0	0	0	0	0	0.635	0.635
DNMT3A	NFKB1	9606.ENSP00000264709	9606.ENSP00000226574	0	0	0	0	0.067	0.072	0	0.385	0.421
DNMT3A	MDM2	9606.ENSP00000264709	9606.ENSP00000258149	0	0	0	0	0	0	0	0.407	0.407
DNMT3A	STAT3	9606.ENSP00000264709	9606.ENSP00000264657	0	0	0	0	0.042	0.074	0	0.656	0.668
DNMT3A	JAK1	9606.ENSP00000264709	9606.ENSP00000499900	0	0	0	0	0.042	0.058	0	0.391	0.402
DNMT3A	STAT5A	9606.ENSP00000264709	9606.ENSP00000341208	0	0	0	0	0.042	0.091	0	0.370	0.404
DNMT3A	IL6	9606.ENSP00000264709	9606.ENSP00000385675	0	0	0	0	0	0	0	0.435	0.435
DNMT3A	STAT5B	9606.ENSP00000264709	9606.ENSP00000293328	0	0	0	0	0.049	0.091	0	0.401	0.437
DNMT3A	SRC	9606.ENSP00000264709	9606.ENSP00000362680	0	0	0	0	0.042	0.058	0	0.550	0.558
DNMT3A	STAT1	9606.ENSP00000264709	9606.ENSP00000354394	0	0	0	0	0.049	0.074	0	0.552	0.571
DNMT3A	TP53	9606.ENSP00000264709	9606.ENSP00000269305	0	0	0	0	0.049	0	0	0.833	0.835
DNMT3A	MYC	9606.ENSP00000264709	9606.ENSP00000478887	0	0	0	0	0.103	0.516	0	0.983	0.991
EVPL	PLEK2	9606.ENSP00000465630	9606.ENSP00000216446	0	0	0	0	0.097	0	0	0.427	0.460
EVPL	PLEK	9606.ENSP00000465630	9606.ENSP00000234313	0	0	0	0	0.044	0	0	0.423	0.424
EVPL	STAT5B	9606.ENSP00000465630	9606.ENSP00000293328	0	0	0	0	0.042	0	0	0.400	0.400
EVPL	STAT5A	9606.ENSP00000465630	9606.ENSP00000341208	0	0	0	0	0	0	0	0.418	0.418
GPR84	IL1B	9606.ENSP00000450310	9606.ENSP00000263341	0	0	0	0	0.350	0	0	0.273	0.507
GPR84	SRC	9606.ENSP00000450310	9606.ENSP00000362680	0	0	0	0	0.049	0	0.500	0.071	0.520
GPR84	TNF	9606.ENSP00000450310	9606.ENSP00000398698	0	0	0	0	0.376	0	0	0.271	0.525
GPR84	ITGAM	9606.ENSP00000450310	9606.ENSP00000496959	0	0	0	0	0.228	0	0	0.371	0.494
HIF1A	NFKB1	9606.ENSP00000437955	9606.ENSP00000226574	0	0	0	0	0.088	0	0	0.807	0.816
HIF1A	IRF1	9606.ENSP00000437955	9606.ENSP00000245414	0	0	0	0	0.062	0.068	0	0.676	0.692
HIF1A	MDM2	9606.ENSP00000437955	9606.ENSP00000258149	0	0	0	0	0.060	0.839	0	0.929	0.988
HIF1A	IL1B	9606.ENSP00000437955	9606.ENSP00000263341	0	0	0	0	0.120	0	0	0.751	0.771
HIF1A	STAT3	9606.ENSP00000437955	9606.ENSP00000264657	0	0	0	0	0.115	0.738	0.750	0.923	0.994
HIF1A	TP53	9606.ENSP00000437955	9606.ENSP00000269305	0	0	0	0	0	0.847	0	0.994	0.999
HIF1A	IFNA1	9606.ENSP00000437955	9606.ENSP00000276927	0	0	0	0	0	0	0	0.440	0.440
HIF1A	STAT5B	9606.ENSP00000437955	9606.ENSP00000293328	0	0	0	0	0	0.045	0	0.508	0.510
HIF1A	STAT6	9606.ENSP00000437955	9606.ENSP00000300134	0	0	0	0	0	0.045	0.500	0.507	0.744
HIF1A	STAT5A	9606.ENSP00000437955	9606.ENSP00000341208	0	0	0	0	0	0.045	0	0.511	0.513
HIF1A	STAT1	9606.ENSP00000437955	9606.ENSP00000354394	0	0	0	0	0.072	0.045	0	0.738	0.748
HIF1A	XIAP	9606.ENSP00000437955	9606.ENSP00000360242	0	0	0	0	0.054	0	0	0.677	0.681
HIF1A	SRC	9606.ENSP00000437955	9606.ENSP00000362680	0	0	0	0	0	0.632	0	0.666	0.872
HIF1A	IL6	9606.ENSP00000437955	9606.ENSP00000385675	0	0	0	0	0.139	0	0	0.777	0.800
