node_index,id,type,logic,embedding_l2_norm,encoder
53,MAP2K2,gene,,0.0,proteinbert
54,fu:4781eb07,functional_unit,SINGLE,0.09154023975133896,proteinbert
55,MAP2K1,gene,,0.0,proteinbert
56,fu:ee804b17,functional_unit,SINGLE,0.0915403664112091,proteinbert
57,RAF1,gene,,0.0,proteinbert
58,fu:5324c493,functional_unit,SINGLE,0.059809841215610504,proteinbert
59,BRAF,gene,,0.0,proteinbert
60,fu:7cec7b64,functional_unit,SINGLE,0.08994028717279434,proteinbert
61,RASA1,gene,,0.0,proteinbert
62,fu:30ad397b,functional_unit,SINGLE,0.0,proteinbert
63,NF1,gene,,0.0,proteinbert
64,fu:3968d652,functional_unit,SINGLE,0.0,proteinbert
65,PRKCA,gene,,0.0,proteinbert
66,PRKCB,gene,,0.0,proteinbert
67,PRKCG,gene,,0.0,proteinbert
68,fu:6fc31f40,functional_unit,OR,0.0,proteinbert
69,RAP1A,gene,,0.0,proteinbert
70,RAP1B,gene,,0.0,proteinbert
71,fu:5264ac6f,functional_unit,OR,0.014182863757014275,proteinbert
72,PRKACA,gene,,0.0,proteinbert
73,PRKACB,gene,,0.0,proteinbert
74,PRKACG,gene,,0.0,proteinbert
75,fu:0ddd2c17,functional_unit,OR,0.0,proteinbert
76,RAPGEF2,gene,,0.0,proteinbert
77,fu:cbc27d79,functional_unit,SINGLE,0.0,proteinbert
78,RASA2,gene,,0.0,proteinbert
79,fu:7d8d1672,functional_unit,SINGLE,0.03184346482157707,proteinbert
80,RRAS2,gene,,0.0,proteinbert
81,MRAS,gene,,0.0,proteinbert
82,HRAS,gene,,0.0,proteinbert
83,KRAS,gene,,0.0,proteinbert
84,NRAS,gene,,0.0,proteinbert
85,RRAS,gene,,0.0,proteinbert
86,fu:cb603216,functional_unit,OR,0.03907102718949318,proteinbert
87,RASGRP1,gene,,0.0,proteinbert
88,RASGRP2,gene,,0.0,proteinbert
89,RASGRP4,gene,,0.0,proteinbert
90,RASGRP3,gene,,0.0,proteinbert
91,fu:a6602c7f,functional_unit,OR,0.007368751801550388,proteinbert
92,SOS1,gene,,0.0,proteinbert
93,SOS2,gene,,0.0,proteinbert
94,fu:9bd0df30,functional_unit,OR,0.0,proteinbert
95,GNA12,gene,,0.0,proteinbert
96,GNG12,gene,,0.0,proteinbert
97,fu:c3d880e8,functional_unit,OR,0.0,proteinbert
98,GRB2,gene,,0.0,proteinbert
99,fu:0d65318d,functional_unit,SINGLE,0.03184192255139351,proteinbert
100,CSF1R,gene,,0.0,proteinbert
101,EGFR,gene,,0.0,proteinbert
102,EPHA2,gene,,0.0,proteinbert
103,ERBB2,gene,,0.0,proteinbert
104,ERBB3,gene,,0.0,proteinbert
105,ERBB4,gene,,0.0,proteinbert
106,FGFR1,gene,,0.0,proteinbert
107,FGFR3,gene,,0.0,proteinbert
108,FGFR2,gene,,0.0,proteinbert
109,FGFR4,gene,,0.0,proteinbert
110,FLT1,gene,,0.0,proteinbert
111,FLT3,gene,,0.0,proteinbert
112,FLT4,gene,,0.0,proteinbert
113,IGF1R,gene,,0.0,proteinbert
114,INSR,gene,,0.0,proteinbert
115,KDR,gene,,0.0,proteinbert
116,KIT,gene,,0.0,proteinbert
117,MET,gene,,0.0,proteinbert
118,NGFR,gene,,0.0,proteinbert
119,NTRK1,gene,,0.0,proteinbert
120,NTRK2,gene,,0.0,proteinbert
121,PDGFRA,gene,,0.0,proteinbert
122,PDGFRB,gene,,0.0,proteinbert
123,RET,gene,,0.0,proteinbert
124,TEK,gene,,0.0,proteinbert
125,fu:727cb396,functional_unit,OR,0.006402408704161644,proteinbert
126,CACNG3,gene,,0.0,proteinbert
127,CACNG2,gene,,0.0,proteinbert
128,CACNG5,gene,,0.0,proteinbert
129,CACNG4,gene,,0.0,proteinbert
130,CACNA2D3,gene,,0.0,proteinbert
131,CACNG8,gene,,0.0,proteinbert
132,CACNG7,gene,,0.0,proteinbert
133,CACNG6,gene,,0.0,proteinbert
134,CACNA1A,gene,,0.0,proteinbert
135,CACNA1B,gene,,0.0,proteinbert
136,CACNA1C,gene,,0.0,proteinbert
137,CACNA1D,gene,,0.0,proteinbert
138,CACNA1E,gene,,0.0,proteinbert
139,CACNA1F,gene,,0.0,proteinbert
140,CACNA1S,gene,,0.0,proteinbert
141,CACNA2D1,gene,,0.0,proteinbert
142,CACNB1,gene,,0.0,proteinbert
143,CACNB2,gene,,0.0,proteinbert
144,CACNB3,gene,,0.0,proteinbert
145,CACNB4,gene,,0.0,proteinbert
146,CACNG1,gene,,0.0,proteinbert
147,CACNA1I,gene,,0.0,proteinbert
148,CACNA1H,gene,,0.0,proteinbert
149,CACNA1G,gene,,0.0,proteinbert
150,CACNA2D2,gene,,0.0,proteinbert
151,CACNA2D4,gene,,0.0,proteinbert
152,fu:bd379c39,functional_unit,OR,0.0,proteinbert
153,NR4A1,gene,,0.0,proteinbert
154,fu:14d50a78,functional_unit,SINGLE,0.08211870491504669,proteinbert
155,MAPK7,gene,,0.0,proteinbert
156,fu:f05aba10,functional_unit,SINGLE,0.0,proteinbert
157,MAP2K5,gene,,0.0,proteinbert
158,fu:faf1b7e0,functional_unit,SINGLE,0.0,proteinbert
159,NLK,gene,,0.0,proteinbert
160,fu:db8a4a8a,functional_unit,SINGLE,0.09027230739593506,proteinbert
161,CDC25B,gene,,0.0,proteinbert
162,fu:e45fbd5c,functional_unit,SINGLE,0.049234598875045776,proteinbert
163,RPS6KA4,gene,,0.0,proteinbert
164,RPS6KA5,gene,,0.0,proteinbert
165,fu:b8ada536,functional_unit,OR,0.032845646142959595,proteinbert
166,MAPKAPK3,gene,,0.0,proteinbert
167,MAPKAPK2,gene,,0.0,proteinbert
168,fu:8c7ba104,functional_unit,OR,0.032845638692379,proteinbert
169,ATF4,gene,,0.0,proteinbert
170,fu:7bca3a7b,functional_unit,SINGLE,0.05454691872000694,proteinbert
171,MEF2C,gene,,0.0,proteinbert
172,fu:f101a6f1,functional_unit,SINGLE,0.049234580248594284,proteinbert
173,MAX,gene,,0.0,proteinbert
174,fu:45df5340,functional_unit,SINGLE,0.04923457279801369,proteinbert
175,DDIT3,gene,,0.0,proteinbert
176,fu:dda08e08,functional_unit,SINGLE,0.04923457279801369,proteinbert
177,ELK4,gene,,0.0,proteinbert
178,fu:0a37beb9,functional_unit,SINGLE,0.04923457279801369,proteinbert
179,TP53,gene,,0.0,proteinbert
180,fu:31725aa3,functional_unit,SINGLE,0.08832911401987076,proteinbert
181,ELK1,gene,,0.0,proteinbert
182,fu:5fde3828,functional_unit,SINGLE,0.08832912147045135,proteinbert
183,ATF2,gene,,0.0,proteinbert
184,fu:bfc9ae48,functional_unit,SINGLE,0.049234580248594284,proteinbert
185,MAPK14,gene,,0.0,proteinbert
186,MAPK11,gene,,0.0,proteinbert
187,MAPK13,gene,,0.0,proteinbert
188,MAPK12,gene,,0.0,proteinbert
189,fu:5800992d,functional_unit,OR,0.04823063313961029,proteinbert
190,PPP5C,gene,,0.0,proteinbert
191,fu:306b6021,functional_unit,SINGLE,0.0,proteinbert
192,MAP2K6,gene,,0.0,proteinbert
193,fu:5e60e9dc,functional_unit,SINGLE,0.0800430178642273,proteinbert
194,MAP2K3,gene,,0.0,proteinbert
195,fu:416a5afd,functional_unit,SINGLE,0.0800430178642273,proteinbert
196,fu:da3df1ca,functional_unit,OR,0.0,proteinbert
197,fu:7da6eba5,functional_unit,OR,0.0,proteinbert
198,PPM1A,gene,,0.0,proteinbert
199,fu:5dc42453,functional_unit,SINGLE,0.0,proteinbert
200,AKT3,gene,,0.0,proteinbert
201,AKT1,gene,,0.0,proteinbert
202,AKT2,gene,,0.0,proteinbert
203,fu:41203a8a,functional_unit,OR,0.0,proteinbert
204,TAOK3,gene,,0.0,proteinbert
205,TAOK1,gene,,0.0,proteinbert
206,TAOK2,gene,,0.0,proteinbert
207,fu:0c8f7154,functional_unit,OR,0.0,proteinbert
208,MAP3K4,gene,,0.0,proteinbert
209,fu:8cf03d63,functional_unit,SINGLE,0.0,proteinbert
210,HSPB1,gene,,0.0,proteinbert
211,fu:6953fac9,functional_unit,SINGLE,0.0602433942258358,proteinbert
212,MAP3K7,gene,,0.0,proteinbert
213,fu:cabad419,functional_unit,SINGLE,0.059881169348955154,proteinbert
214,MAP3K5,gene,,0.0,proteinbert
215,fu:aacf07bb,functional_unit,SINGLE,0.05387156829237938,proteinbert
216,MAP3K6,gene,,0.0,proteinbert
217,fu:e9c5128e,functional_unit,SINGLE,0.0,proteinbert
218,MAP3K20,gene,,0.0,proteinbert
219,fu:8ce177b4,functional_unit,SINGLE,0.0,proteinbert
220,MAP3K12,gene,,0.0,proteinbert
221,MAP3K13,gene,,0.0,proteinbert
222,fu:1ee1c600,functional_unit,OR,0.0,proteinbert
223,MAP3K9,gene,,0.0,proteinbert
224,MAP3K10,gene,,0.0,proteinbert
225,MAP3K21,gene,,0.0,proteinbert
226,fu:e7b77b07,functional_unit,OR,0.0,proteinbert
227,MAP4K2,gene,,0.0,proteinbert
228,fu:b8f9f795,functional_unit,SINGLE,0.0541466623544693,proteinbert
229,STK3,gene,,0.0,proteinbert
230,STK4,gene,,0.0,proteinbert
231,fu:b9db94ef,functional_unit,OR,0.0361388735473156,proteinbert
232,ECSIT,gene,,0.0,proteinbert
233,fu:3285e573,functional_unit,SINGLE,0.0,proteinbert
234,TAB2,gene,,0.0,proteinbert
235,fu:545ebf7d,functional_unit,SINGLE,0.0,proteinbert
236,TAB1,gene,,0.0,proteinbert
237,fu:d7d24a4c,functional_unit,SINGLE,0.07704374939203262,proteinbert
238,GADD45G,gene,,0.0,proteinbert
239,GADD45A,gene,,0.0,proteinbert
240,GADD45B,gene,,0.0,proteinbert
241,fu:41822415,functional_unit,OR,0.0,proteinbert
242,TRAF6,gene,,0.0,proteinbert
243,fu:4d346bcc,functional_unit,SINGLE,0.04979052394628525,proteinbert
244,DAXX,gene,,0.0,proteinbert
245,fu:02465256,functional_unit,SINGLE,0.09383843839168549,proteinbert
246,TRAF2,gene,,0.0,proteinbert
247,fu:af1b2d2f,functional_unit,SINGLE,0.05334194004535675,proteinbert
248,CASP3,gene,,0.0,proteinbert
249,fu:eda4acea,functional_unit,SINGLE,0.053341928869485855,proteinbert
250,CD14,gene,,0.0,proteinbert
251,fu:cec976f1,functional_unit,SINGLE,0.0,proteinbert
252,TGFBR1,gene,,0.0,proteinbert
253,TGFBR2,gene,,0.0,proteinbert
254,fu:e1dd59a5,functional_unit,OR,0.021231399849057198,proteinbert
255,FAS,gene,,0.0,proteinbert
256,fu:12950895,functional_unit,SINGLE,0.03184462711215019,proteinbert
257,IL1R1,gene,,0.0,proteinbert
258,IL1RAP,gene,,0.0,proteinbert
259,fu:9274968e,functional_unit,OR,0.010648075491189957,proteinbert
260,TNFRSF1A,gene,,0.0,proteinbert
261,fu:cb1c88d1,functional_unit,SINGLE,0.03184719383716583,proteinbert
262,TGFB1,gene,,0.0,proteinbert
263,TGFB2,gene,,0.0,proteinbert
264,TGFB3,gene,,0.0,proteinbert
265,fu:619d8916,functional_unit,OR,0.0,proteinbert
266,IL1A,gene,,0.0,proteinbert
267,IL1B,gene,,0.0,proteinbert
268,fu:5b3ce1d9,functional_unit,OR,0.0,proteinbert
269,TNF,gene,,0.0,proteinbert
270,fu:93677f06,functional_unit,SINGLE,0.0,proteinbert
271,MAPKAPK5,gene,,0.0,proteinbert
272,fu:9ac97dd2,functional_unit,SINGLE,0.049234598875045776,proteinbert
273,RAC1,gene,,0.0,proteinbert
274,RAC2,gene,,0.0,proteinbert
275,RAC3,gene,,0.0,proteinbert
276,CDC42,gene,,0.0,proteinbert
277,fu:e2794b69,functional_unit,OR,0.0,proteinbert
278,PAK1,gene,,0.0,proteinbert
279,PAK2,gene,,0.0,proteinbert
280,fu:9a263ecd,functional_unit,OR,0.03603818640112877,proteinbert
281,MAP3K2,gene,,0.0,proteinbert
282,MAP3K3,gene,,0.0,proteinbert
283,fu:6dc0c7f6,functional_unit,OR,0.043099433183670044,proteinbert
284,MAPK8IP2,gene,,0.0,proteinbert
285,MAPK8IP1,gene,,0.0,proteinbert
286,fu:92589075,functional_unit,OR,0.0,proteinbert
287,MAP3K11,gene,,0.0,proteinbert
288,fu:28d07664,functional_unit,SINGLE,0.05196620896458626,proteinbert
289,MAP2K7,gene,,0.0,proteinbert
290,fu:66672553,functional_unit,SINGLE,0.04530622437596321,proteinbert
291,MAPK8,gene,,0.0,proteinbert
292,MAPK9,gene,,0.0,proteinbert
293,MAPK10,gene,,0.0,proteinbert
294,fu:fefb3eac,functional_unit,OR,0.046163611114025116,proteinbert
295,MAP2K4,gene,,0.0,proteinbert
296,fu:d7921de4,functional_unit,SINGLE,0.06399743258953094,proteinbert
297,CRK,gene,,0.0,proteinbert
298,CRKL,gene,,0.0,proteinbert
299,fu:5d3f8d6d,functional_unit,OR,0.08310364186763763,proteinbert
300,ARRB1,gene,,0.0,proteinbert
301,ARRB2,gene,,0.0,proteinbert
302,fu:05519816,functional_unit,OR,0.05520796403288841,proteinbert
303,MECOM,gene,,0.0,proteinbert
304,fu:6a22a160,functional_unit,SINGLE,0.0,proteinbert
305,HSPA1A,gene,,0.0,proteinbert
306,HSPA1B,gene,,0.0,proteinbert
307,HSPA1L,gene,,0.0,proteinbert
308,HSPA6,gene,,0.0,proteinbert
309,HSPA8,gene,,0.0,proteinbert
310,fu:5fff24cf,functional_unit,OR,0.0,proteinbert
311,JUND,gene,,0.0,proteinbert
312,fu:f5686479,functional_unit,SINGLE,0.08381981402635574,proteinbert
313,FOS,gene,,0.0,proteinbert
314,JUN,gene,,0.0,proteinbert
315,fu:1b813b45,functional_unit,OR,0.05593131110072136,proteinbert
316,NFATC3,gene,,0.0,proteinbert
317,fu:55bfa81d,functional_unit,SINGLE,0.06234974041581154,proteinbert
318,NFATC1,gene,,0.0,proteinbert
319,fu:73b76124,functional_unit,SINGLE,0.06234973669052124,proteinbert
320,PPP3CA,gene,,0.0,proteinbert
321,PPP3CB,gene,,0.0,proteinbert
322,PPP3CC,gene,,0.0,proteinbert
323,PPP3R1,gene,,0.0,proteinbert
324,PPP3R2,gene,,0.0,proteinbert
325,fu:ff2e7a0f,functional_unit,OR,0.0,proteinbert
326,MAPK8IP3,gene,,0.0,proteinbert
327,fu:be5424aa,functional_unit,SINGLE,0.14027617871761322,proteinbert
328,FLNA,gene,,0.0,proteinbert
329,fu:d00c086a,functional_unit,SINGLE,0.0827491506934166,proteinbert
330,MAP3K1,gene,,0.0,proteinbert
331,fu:210acb65,functional_unit,SINGLE,0.06001269072294235,proteinbert
332,MAP3K8,gene,,0.0,proteinbert
333,fu:eadbb23d,functional_unit,SINGLE,0.0,proteinbert
334,MAP4K1,gene,,0.0,proteinbert
335,fu:c7fdd986,functional_unit,SINGLE,0.015970923006534576,proteinbert
336,MAP4K3,gene,,0.0,proteinbert
337,fu:d0d79cd1,functional_unit,SINGLE,0.0,proteinbert
338,fu:5926e68e,functional_unit,SINGLE,0.03184192255139351,proteinbert
339,SRF,gene,,0.0,proteinbert
340,fu:dc542d4d,functional_unit,SINGLE,0.0,proteinbert
341,MYC,gene,,0.0,proteinbert
342,fu:fc6a389a,functional_unit,SINGLE,0.0,proteinbert
343,fu:f449b983,functional_unit,SINGLE,0.0578753687441349,proteinbert
344,fu:7b593a5c,functional_unit,SINGLE,0.0578753687441349,proteinbert
345,fu:f64183b7,functional_unit,SINGLE,0.040901005268096924,proteinbert
346,RPS6KA6,gene,,0.0,proteinbert
347,RPS6KA1,gene,,0.0,proteinbert
348,RPS6KA2,gene,,0.0,proteinbert
349,RPS6KA3,gene,,0.0,proteinbert
350,fu:99084968,functional_unit,OR,0.026271238923072815,proteinbert
351,MKNK2,gene,,0.0,proteinbert
352,MKNK1,gene,,0.0,proteinbert
353,fu:642e62d6,functional_unit,OR,0.043757468461990356,proteinbert
354,EFNA4-EFNA3,gene,,0.0,proteinbert
355,CSF1,gene,,0.0,proteinbert
356,EFNA1,gene,,0.0,proteinbert
357,EFNA2,gene,,0.0,proteinbert
358,EFNA3,gene,,0.0,proteinbert
359,EFNA4,gene,,0.0,proteinbert
360,EFNA5,gene,,0.0,proteinbert
361,EGF,gene,,0.0,proteinbert
362,EREG,gene,,0.0,proteinbert
363,FGF1,gene,,0.0,proteinbert
364,FGF2,gene,,0.0,proteinbert
365,FGF3,gene,,0.0,proteinbert
366,FGF4,gene,,0.0,proteinbert
367,FGF5,gene,,0.0,proteinbert
368,FGF6,gene,,0.0,proteinbert
369,FGF7,gene,,0.0,proteinbert
370,FGF8,gene,,0.0,proteinbert
371,FGF9,gene,,0.0,proteinbert
372,FGF10,gene,,0.0,proteinbert
373,VEGFD,gene,,0.0,proteinbert
374,FLT3LG,gene,,0.0,proteinbert
375,FGF20,gene,,0.0,proteinbert
376,FGF21,gene,,0.0,proteinbert
377,GDNF,gene,,0.0,proteinbert
378,FGF22,gene,,0.0,proteinbert
379,ANGPT1,gene,,0.0,proteinbert
380,ANGPT2,gene,,0.0,proteinbert
381,HGF,gene,,0.0,proteinbert
382,IGF1,gene,,0.0,proteinbert
383,IGF2,gene,,0.0,proteinbert
384,INS,gene,,0.0,proteinbert
385,AREG,gene,,0.0,proteinbert
386,KITLG,gene,,0.0,proteinbert
387,NGF,gene,,0.0,proteinbert
388,NRTN,gene,,0.0,proteinbert
389,NTF3,gene,,0.0,proteinbert
390,NTF4,gene,,0.0,proteinbert
391,ANGPT4,gene,,0.0,proteinbert
392,PDGFA,gene,,0.0,proteinbert
393,PDGFB,gene,,0.0,proteinbert
394,PGF,gene,,0.0,proteinbert
395,PDGFC,gene,,0.0,proteinbert
396,PSPN,gene,,0.0,proteinbert
397,BDNF,gene,,0.0,proteinbert
398,TGFA,gene,,0.0,proteinbert
399,VEGFA,gene,,0.0,proteinbert
400,VEGFB,gene,,0.0,proteinbert
401,VEGFC,gene,,0.0,proteinbert
402,PDGFD,gene,,0.0,proteinbert
403,FGF23,gene,,0.0,proteinbert
404,FGF18,gene,,0.0,proteinbert
405,FGF17,gene,,0.0,proteinbert
406,FGF16,gene,,0.0,proteinbert
407,ARTN,gene,,0.0,proteinbert
408,FGF19,gene,,0.0,proteinbert
409,fu:0d329cca,functional_unit,OR,0.0,proteinbert
410,TRADD,gene,,0.0,proteinbert
411,fu:fd78464d,functional_unit,SINGLE,0.08255314826965332,proteinbert
412,MYD88,gene,,0.0,proteinbert
413,fu:c2e0c4ae,functional_unit,SINGLE,0.052751462906599045,proteinbert
414,IRAK1,gene,,0.0,proteinbert
415,IRAK4,gene,,0.0,proteinbert
416,fu:622bda7f,functional_unit,OR,0.040625158697366714,proteinbert
417,ARAF,gene,,0.0,proteinbert
418,fu:d0ad993a,functional_unit,SINGLE,0.07830453664064407,proteinbert
419,fu:0b389115,functional_unit,SINGLE,0.0,proteinbert
420,fu:8f8c2fbf,functional_unit,AND,0.0437583401799202,proteinbert
421,fu:839c82c3,functional_unit,AND,0.0,proteinbert
422,MIMAT0000680,mir,,0.0,proteinbert
423,MIMAT0002875,mir,,0.0,proteinbert
424,MIMAT0000456,mir,,0.0,proteinbert
425,MIMAT0002819,mir,,0.0,proteinbert
426,MIMAT0019025,mir,,0.0,proteinbert
427,MIMAT0000075,mir,,0.0,proteinbert
428,MIMAT0000263,mir,,0.0,proteinbert
429,MIMAT0000278,mir,,0.0,proteinbert
430,MIMAT0000232,mir,,0.0,proteinbert
431,MIMAT0000243,mir,,0.0,proteinbert
432,MIMAT0004563,mir,,0.0,proteinbert
433,MIMAT0000646,mir,,0.0,proteinbert
434,MIMAT0019042,mir,,0.0,proteinbert
435,MIMAT0019799,mir,,0.0,proteinbert
436,MIMAT0000073,mir,,0.0,proteinbert
437,MIMAT0000074,mir,,0.0,proteinbert
438,MIMAT0000722,mir,,0.0,proteinbert
439,MIMAT0001629,mir,,0.0,proteinbert
440,MIMAT0002171,mir,,0.0,proteinbert
441,MIMAT0003221,mir,,0.0,proteinbert
442,MIMAT0016854,mir,,0.0,proteinbert
443,MIMAT0016860,mir,,0.0,proteinbert
444,MIMAT0004495,mir,,0.0,proteinbert
445,MIMAT0004597,mir,,0.0,proteinbert
446,MIMAT0002879,mir,,0.0,proteinbert
447,MIMAT0004507,mir,,0.0,proteinbert
448,MIMAT0000245,mir,,0.0,proteinbert
449,MIMAT0000451,mir,,0.0,proteinbert
450,MIMAT0000761,mir,,0.0,proteinbert
451,MIMAT0005573,mir,,0.0,proteinbert
452,MIMAT0005876,mir,,0.0,proteinbert
453,MIMAT0022721,mir,,0.0,proteinbert
454,MIMAT0032029,mir,,0.0,proteinbert
455,MIMAT0016901,mir,,0.0,proteinbert
456,MIMAT0016916,mir,,0.0,proteinbert
457,MIMAT0019844,mir,,0.0,proteinbert
458,MIMAT0021129,mir,,0.0,proteinbert
459,MIMAT0022290,mir,,0.0,proteinbert
460,MIMAT0022496,mir,,0.0,proteinbert
461,MIMAT0024614,mir,,0.0,proteinbert
462,MIMAT0027402,mir,,0.0,proteinbert
463,MIMAT0027506,mir,,0.0,proteinbert
464,MIMAT0027572,mir,,0.0,proteinbert
465,MIMAT0028117,mir,,0.0,proteinbert
466,MIMAT0031012,mir,,0.0,proteinbert
467,MIMAT0000092,mir,,0.0,proteinbert
468,MIMAT0002175,mir,,0.0,proteinbert
469,MIMAT0003280,mir,,0.0,proteinbert
470,MIMAT0022938,mir,,0.0,proteinbert
471,MIMAT0005583,mir,,0.0,proteinbert
472,MIMAT0019862,mir,,0.0,proteinbert
473,MIMAT0021124,mir,,0.0,proteinbert
474,MIMAT0027456,mir,,0.0,proteinbert
475,MIMAT0027470,mir,,0.0,proteinbert
476,MIMAT0027666,mir,,0.0,proteinbert
477,MIMAT0028211,mir,,0.0,proteinbert
478,MIMAT0030998,mir,,0.0,proteinbert
479,MIMAT0004609,mir,,0.0,proteinbert
480,MIMAT0019047,mir,,0.0,proteinbert
481,MIMAT0024613,mir,,0.0,proteinbert
482,MIMAT0027494,mir,,0.0,proteinbert
483,MIMAT0000072,mir,,0.0,proteinbert
484,MIMAT0004592,mir,,0.0,proteinbert
485,MIMAT0004671,mir,,0.0,proteinbert
486,MIMAT0019849,mir,,0.0,proteinbert
487,MIMAT0024617,mir,,0.0,proteinbert
488,MIMAT0004776,mir,,0.0,proteinbert
489,MIMAT0022741,mir,,0.0,proteinbert
490,MIMAT0027550,mir,,0.0,proteinbert
491,MIMAT0004697,mir,,0.0,proteinbert
492,MIMAT0021025,mir,,0.0,proteinbert
493,MIMAT0000080,mir,,0.0,proteinbert
494,MIMAT0000070,mir,,0.0,proteinbert
495,MIMAT0000255,mir,,0.0,proteinbert
496,MIMAT0005459,mir,,0.0,proteinbert
497,MIMAT0006764,mir,,0.0,proteinbert
498,MIMAT0018004,mir,,0.0,proteinbert
499,MIMAT0027377,mir,,0.0,proteinbert
500,MIMAT0027481,mir,,0.0,proteinbert
501,MIMAT0027682,mir,,0.0,proteinbert
502,MIMAT0000093,mir,,0.0,proteinbert
503,MIMAT0004949,mir,,0.0,proteinbert
504,MIMAT0005867,mir,,0.0,proteinbert
505,MIMAT0019213,mir,,0.0,proteinbert
506,MIMAT0015085,mir,,0.0,proteinbert
507,MIMAT0027626,mir,,0.0,proteinbert
508,MIMAT0000423,mir,,0.0,proteinbert
509,MIMAT0005792,mir,,0.0,proteinbert
510,MIMAT0018943,mir,,0.0,proteinbert
511,MIMAT0000066,mir,,0.0,proteinbert
512,MIMAT0000242,mir,,0.0,proteinbert
513,MIMAT0004550,mir,,0.0,proteinbert
514,MIMAT0004589,mir,,0.0,proteinbert
515,MIMAT0000424,mir,,0.0,proteinbert
516,MIMAT0001412,mir,,0.0,proteinbert
517,MIMAT0002876,mir,,0.0,proteinbert
518,MIMAT0026720,mir,,0.0,proteinbert
519,MIMAT0014984,mir,,0.0,proteinbert
520,MIMAT0018118,mir,,0.0,proteinbert
521,MIMAT0018181,mir,,0.0,proteinbert
522,MIMAT0018206,mir,,0.0,proteinbert
523,MIMAT0019006,mir,,0.0,proteinbert
524,MIMAT0019007,mir,,0.0,proteinbert
525,MIMAT0023711,mir,,0.0,proteinbert
526,MIMAT0024618,mir,,0.0,proteinbert
527,MIMAT0025485,mir,,0.0,proteinbert
528,MIMAT0027380,mir,,0.0,proteinbert
529,MIMAT0027443,mir,,0.0,proteinbert
530,MIMAT0027458,mir,,0.0,proteinbert
531,MIMAT0027460,mir,,0.0,proteinbert
532,MIMAT0027476,mir,,0.0,proteinbert
533,MIMAT0027498,mir,,0.0,proteinbert
534,MIMAT0027660,mir,,0.0,proteinbert
535,MIMAT0027668,mir,,0.0,proteinbert
536,MIMAT0028109,mir,,0.0,proteinbert
537,MIMAT0030415,mir,,0.0,proteinbert
538,MIMAT0030417,mir,,0.0,proteinbert
539,MIMAT0030422,mir,,0.0,proteinbert
540,MIMAT0004952,mir,,0.0,proteinbert
541,MIMAT0016903,mir,,0.0,proteinbert
542,MIMAT0025482,mir,,0.0,proteinbert
